Sector,Symbol,Rule,Trend,Price,PreviousClose,52WeekHigh,52WeekLow,TrailingPE,ForwardPE,pegRatio,PriceToBook,EarningsQuarterlyGrowth,Institutions_pct,Earning_Date,Reco_4_hrs,Reco_Daily,Reco_Daily_last,Reco_Weekly,RSI,MACD,PAR,Stoch_K,Stoch_D,ADX,CCI20,AO,Mom,MACD_macd,MACD_signal,UO,P_SAR,TrailingEps,ForwardEps,Stock,Category,LotSize,ShortInterest,RecommdationMean,FutureLotValue,RecommadationKey,totalCashPerShare,earningsGrowth,currentRatio,returnOnAssets,returnOnEquity,debtToEquity,quickRatio
Meta Platforms. Inc.,META,NEUTRAL,NEUTRAL,160.03,161.25,384.33,154.25,,,,,,,,SELL - 3|13|10,NEUTRAL - 9|7|10,,SELL - 3|14|9,Bearish : 41.7,BUY,SELL,Bullish : 30.42,Bullish : 39.78,Weak Trend : 20.81,Bearish : -63.65,Bearish : -6.99,Bearish : -10.11,Bearish : -3.5,Bearish : -3.99,50.2,170.58,,,Meta Platforms. Inc.,Watchlist,100,,,16003.0,,,,,,,,
VanEck Oil Services ETF,OIH,NEUTRAL,NEUTRAL,231.63,232.6,317.0,164.41,,,,,,,,SELL - 3|13|10,NEUTRAL - 8|9|9,STRONG_BUY - 16|0|10,NEUTRAL - 8|10|8,Bearish : 37.74,BUY,SELL,Bullish : 46.28,Bullish : 51.39,Strong Trend : 28.97,Bearish : -51.11,Bearish : -20.53,Bullish : 2.96,Bearish : -8.73,Bearish : -10.29,49.73,246.41,,,VanEck Oil Services ETF,Index,100,,,23163.0,,,,,,,,
Basic Materials,DOW,NEUTRAL,NEUTRAL,51.69,51.61,71.86,49.9,6.7086306,8.10188,0.14,2.3256545,0.583,0.68859,2022-04-20 00:00:00,SELL - 3|13|10,BUY - 11|6|9,NEUTRAL - 9|8|9,SELL - 2|14|8,Bearish : 31.85,BUY,SELL,Bullish : 36.01,Bullish : 32.35,Strong Trend : 40.92,Bearish : -67.13,Bearish : -4.63,Bearish : -1.44,Bearish : -2.18,Bearish : -2.55,51.74,53.85,7.705,6.38,Dow Inc.,BullSpread,100,2.31,2.5,5169.0,buy,4.66,0.598,1.698,0.09222999,0.40903,82.193,0.831
Technology,MCHP,STRONG_SELL,STRONG_SELL,56.16,58.08,90.0,55.29,49.133858,11.437882,0.51,5.464098,8.746,0.92716,2022-02-02 00:00:00,SELL - 2|15|9,STRONG_SELL - 1|16|9,BUY - 10|6|10,STRONG_SELL - 0|16|10,Bearish : 34.59,SELL,SELL,Oversold : 12.65,Oversold : 19.26,Weak Trend : 23.55,Bearish : -153.55,Bearish : -3.3,Bearish : -4.43,Bearish : -1.62,Bearish : -1.59,40.84,61.8,1.143,4.91,Microchip Technology Incorporat,Watchlist,100,2.41,2.2,5616.0,buy,0.567,8.023,1.806,0.062090002,0.17362,136.19,1.022
Technology,KLAC,STRONG_SELL,STRONG_SELL,296.26,319.08,457.12,287.44,16.815758,13.948212,0.74,11.644067,0.287,0.9192,2022-04-27 00:00:00,SELL - 2|15|9,STRONG_SELL - 0|16|10,BUY - 10|6|10,SELL - 2|14|10,Bearish : 32.3,SELL,SELL,Oversold : 9.0,Oversold : 15.84,Weak Trend : 20.27,Bearish : -199.86,Bearish : -15.04,Bearish : -43.26,Bearish : -6.9,Bearish : -4.03,34.79,338.76,17.618,21.24,KLA Corporation,Watchlist,100,1.25,2,29626.0,buy,17.274,0.32,2.327,0.19342,0.87596,92.997,1.521
Consumer Cyclical,M,STRONG_SELL,STRONG_SELL,17.97,18.32,37.95,15.68,6.685268,4.404412,-1.44,1.7878819,3.644,0.89459,2022-02-21 00:00:00,SELL - 2|15|9,SELL - 2|15|9,SELL - 3|14|9,STRONG_SELL - 0|16|10,Bearish : 31.27,SELL,SELL,Oversold : 17.04,Oversold : 15.66,Weak Trend : 23.88,Bearish : -131.01,Bearish : -2.43,Bearish : -2.98,Bearish : -0.87,Bearish : -0.76,48.63,20.66,2.688,4.08,Macy's Inc,Watchlist,100,2.85,2.9,1797.0,hold,5.855,3.796,1.248,0.08266,0.46323,188.511,0.371
Communication Services,SNAP,SELL,STRONG_SELL,13.17,13.13,83.34,11.88,,23.105263,1.21,6.145591,,0.65272003,2022-04-20 00:00:00,SELL - 2|15|9,SELL - 2|14|10,SELL - 4|16|6,SELL - 4|14|8,Bearish : 43.82,SELL,SELL,Oversold : 14.45,Bullish : 21.54,Weak Trend : 18.96,Neutral : -47.81,Bearish : -0.13,Bearish : -1.52,Bearish : -0.22,Bearish : -0.22,45.13,14.67,-0.408,0.57,Snap Inc.,Watchlist,100,1.88,2,1317.0,buy,3.056,,7.19,-0.0598,-0.21282,118.308,7.051
Technology,S,SELL,STRONG_SELL,23.48,23.33,78.53,18.64,,-34.028984,3.83,3.7287598,,0.82526,2021-12-07 00:00:00,SELL - 2|15|9,SELL - 2|14|10,SELL - 3|13|10,SELL - 1|11|10,Neutral : 45.5,SELL,SELL,Oversold : 14.5,Oversold : 19.47,Weak Trend : 12.7,Bearish : -73.39,Bullish : 0.05,Bearish : -2.99,Bullish : 0.04,Bullish : 0.24,49.71,26.09,-2.03,-0.69,SentinelOne. Inc.,Watchlist,100,3.76,2.1,2348.0,buy,6.144,,6.461,-0.12966,-0.27785,1.761,6.296
Financial Services,LNC,NEUTRAL,NEUTRAL,47.59,46.77,77.57,45.25,6.825875,4.2719927,0.2,0.4183258,0.538,0.77342004,2022-02-01 00:00:00,SELL - 2|15|9,NEUTRAL - 8|8|10,SELL - 5|11|10,SELL - 3|15|8,Bearish : 43.4,BUY,SELL,Bullish : 38.44,Bullish : 35.89,Weak Trend : 22.05,Neutral : -20.35,Bearish : -2.05,Bearish : -1.41,Bearish : -0.96,Bearish : -1.14,50.01,50.14,6.972,11.14,Lincoln National Corporation,Watchlist,100,3.04,2.5,4759.0,buy,41.135,0.628,2.781,0.00333,0.06539,38.388,0.506
VanEck Junior Gold Miners ETF,GDXJ,STRONG_SELL,STRONG_SELL,33.05,32.0,51.92,31.23,,,,,,,,SELL - 2|14|10,SELL - 5|14|7,SELL - 4|13|9,SELL - 1|15|10,Bearish : 35.41,SELL,SELL,Bullish : 23.29,Oversold : 13.14,Strong Trend : 37.95,Bearish : -85.13,Bearish : -3.47,Bearish : -2.54,Bearish : -1.37,Bearish : -1.27,40.47,34.56,,,VanEck Junior Gold Miners ETF,Index,100,,,3304.9999999999995,,,,,,,,
Basic Materials,GOLD,STRONG_SELL,STRONG_SELL,18.06,17.69,26.07,17.27,16.21185,14.333333,-2.24,1.3605545,0.06,0.61958003,2022-02-16 00:00:00,SELL - 2|14|10,SELL - 3|15|8,SELL - 5|11|10,SELL - 2|15|9,Bearish : 35.11,SELL,SELL,Bullish : 21.43,Oversold : 12.53,Strong Trend : 25.54,Bearish : -95.98,Bearish : -1.35,Bearish : -0.72,Bearish : -0.53,Bearish : -0.48,35.52,18.96,1.114,1.26,Barrick Gold Corporation,Watchlist,100,0.8,1.9,1805.9999999999998,buy,2.967,0.059,3.954,0.057239998,0.10272,16.941,2.983
Technology,STEM,STRONG_SELL,STRONG_SELL,7.15,7.16,36.75,5.72,,-39.72222,,1.6350331,,0.54171,2021-11-09 00:00:00,SELL - 2|14|10,SELL - 3|14|9,SELL - 3|14|9,SELL - 2|10|10,Bearish : 43.46,SELL,SELL,Bullish : 21.81,Oversold : 19.43,Weak Trend : 13.26,Bearish : -73.54,Bearish : -0.61,Bearish : -1.22,Bearish : -0.2,Bearish : -0.13,42.33,8.3,-3.458,-0.18,Stem. Inc.,Watchlist,100,4.49,1.9,715.0,buy,6.001,,11.639,-0.07018,-0.34557,62.91,11.171
Technology,SOL,STRONG_SELL,STRONG_SELL,4.67,4.75,9.72,3.46,29.37107,12.2894745,2.51,0.77037287,1.467,0.4294,2022-03-24 00:00:00,SELL - 2|14|10,SELL - 3|13|10,SELL - 5|11|10,SELL - 3|13|10,Neutral : 47.76,SELL,SELL,Bullish : 36.88,Bullish : 35.42,Weak Trend : 10.61,Bearish : -52.34,Bearish : -0.13,Bearish : -0.14,Bearish : -0.02,Bullish : 0.0,46.39,5.12,0.159,0.38,Renesola Ltd. American Depsitar,Watchlist,100,1.99,1.7,467.0,buy,3655.801,,9.379,0.03071,0.02949,12.901,8.675
Consumer Cyclical,TSLA,STRONG_SELL,STRONG_SELL,681.79,673.42,1243.49,620.46,91.39276,42.906857,1.31,20.72247,6.575,0.43138,2022-07-25 10:59:00,SELL - 2|14|10,SELL - 2|14|10,SELL - 6|14|6,SELL - 4|13|9,Neutral : 46.19,SELL,SELL,Oversold : 18.98,Oversold : 19.61,Weak Trend : 13.75,Bearish : -64.46,Bearish : -17.55,Bearish : -55.0,Bearish : -5.94,Bearish : -2.52,47.24,741.6,7.46,15.89,Tesla. Inc.,Watchlist,100,0.85,2.4,68179.0,buy,17.387,6.315,1.354,0.10118,0.28261,19.841,0.953
VanEck Gold Miners ETF,GDX,NEUTRAL,NEUTRAL,28.16,27.38,41.61,26.83,,,,,,,,SELL - 2|14|10,NEUTRAL - 7|9|10,SELL - 3|14|9,SELL - 2|15|9,Bearish : 37.41,SELL,SELL,Bullish : 24.87,Oversold : 14.27,Strong Trend : 25.57,Bearish : -87.21,Bearish : -2.06,Bearish : -1.52,Bearish : -0.81,Bearish : -0.74,40.14,29.31,,,VanEck Gold Miners ETF,Index,100,,,2816.0,,,,,,,,
SPDR Select Sector Fund - Techn,XLK,STRONG_SELL,STRONG_SELL,127.41,127.12,177.04,122.47,2.3210187,,,,,,,SELL - 1|15|10,SELL - 2|15|9,SELL - 4|12|10,SELL - 3|14|9,Bearish : 43.49,SELL,SELL,Oversold : 18.91,Bullish : 23.06,Weak Trend : 21.07,Bearish : -53.52,Bearish : -2.2,Bearish : -6.09,Bearish : -1.06,Bearish : -1.0,50.55,132.19,,,SPDR Select Sector Fund - Techn,Index,100,,,12741.0,,,,,,,,
Technology,QCOM,NEUTRAL,STRONG_SELL,123.53,127.74,193.58,118.23,15.696315,10.612542,0.72,13.967662,0.665,0.76098,2022-04-26 00:00:00,SELL - 1|15|10,SELL - 2|14|10,SELL - 3|14|9,SELL - 4|12|10,Bearish : 42.39,BUY,SELL,Bullish : 35.33,Bullish : 46.81,Weak Trend : 18.87,Neutral : -39.6,Bearish : -1.29,Bearish : -1.59,Bearish : -1.0,Bearish : -1.15,45.43,136.16,7.87,11.64,QUALCOMM Incorporated,Watchlist,100,1.4,2,12353.0,buy,10.309,0.68,1.609,0.19668,1.07546,117.647,1.164
Consumer Cyclical,HD,NEUTRAL,NEUTRAL,279.08,274.27,420.61,264.51,18.661316,17.2378,1.23,282.184,0.173,0.71719,2022-02-21 00:00:00,NEUTRAL - 9|8|9,SELL - 5|11|10,SELL - 5|11|10,SELL - 6|12|8,Neutral : 50.51,BUY,SELL,Bullish : 52.82,Bullish : 50.54,Weak Trend : 19.27,Bullish  : 65.41,Bearish : -4.24,Bearish : -3.91,Bearish : -2.2,Bearish : -3.19,57.19,281.53,14.955,16.19,Home Depot. Inc. (The),Watchlist,100,1.79,2.1,27908.0,buy,2.267,0.206,1.013,0.20447001,20.50281,,0.201
SPDR Select Sector Fund - Indus,XLI,NEUTRAL,NEUTRAL,88.1,87.34,107.88,84.57,3.022091,,,,,,,NEUTRAL - 9|8|9,SELL - 3|15|8,SELL - 2|14|10,SELL - 5|12|9,Neutral : 49.26,BUY,SELL,Bullish : 52.72,Bullish : 49.03,Strong Trend : 25.87,Bullish  : 59.36,Bearish : -1.27,Bearish : -0.7,Bearish : -0.61,Bearish : -0.88,54.32,89.54,,,SPDR Select Sector Fund - Indus,Index,100,,,8810.0,,,,,,,,
Financial Services,GS,BUY,NEUTRAL,299.23,297.02,426.16,278.15,5.7979074,7.3611317,-1,0.9393827,-0.424,0.71064,2022-07-18 12:30:00,NEUTRAL - 9|8|9,BUY - 11|5|10,NEUTRAL - 7|9|10,SELL - 3|14|9,Neutral : 52.47,BUY,SELL,Bullish : 62.92,Bullish : 64.64,Weak Trend : 20.76,Neutral : 39.8,Bullish : 4.88,Bearish : -3.86,Bullish : 0.69,Bearish : -0.33,52.96,308.62,51.61,40.65,Goldman Sachs Group. Inc. (The),Watchlist,100,1.96,2.1,29923.0,buy,3177.532,-0.421,1.651,0.01296,0.17387,524.204,1.564
Financial Services,WFC,NEUTRAL,NEUTRAL,39.92,39.17,60.3,36.54,9.522901,10.673797,1.42,0.9405998,-0.208,0.74325997,2022-07-15 00:00:00,NEUTRAL - 9|7|10,SELL - 6|11|9,NEUTRAL - 8|8|10,SELL - 3|15|8,Neutral : 50.03,BUY,BUY,Bullish : 53.4,Bullish : 51.08,Weak Trend : 19.86,Neutral : 38.02,Bearish : -0.35,Bearish : -0.84,Bearish : -0.28,Bearish : -0.44,53.65,38.41,4.192,3.74,Wells Fargo & Company,Watchlist,100,1.3,2,3992.0,buy,101.242,-0.138,,0.011460001,0.120799996,,
Consumer Defensive,WMT,NEUTRAL,NEUTRAL,122.63,121.58,160.77,117.27,43.179577,18.248512,2.29,4.1406674,,0.32609,2022-02-17 00:00:00,NEUTRAL - 9|7|10,SELL - 6|10|10,SELL - 2|15|9,SELL - 3|15|8,Neutral : 50.77,BUY,SELL,Bullish : 36.56,Bullish : 34.97,Weak Trend : 13.95,Neutral : 11.77,Bullish : 0.02,Bearish : -1.12,Bearish : -0.19,Bearish : -0.25,53.87,123.98,2.84,6.72,Walmart Inc.,Watchlist,100,1.71,2,12263.0,buy,5.364,,0.928,0.0652,0.15539,63.573,0.264
Healthcare,NVS,NEUTRAL,NEUTRAL,84.36,84.53,95.17,79.09,19.487179,12.666667,2.93,3.32427,0.079,0.09488,,NEUTRAL - 9|7|10,SELL - 5|13|8,BUY - 14|6|6,SELL - 2|15|9,Neutral : 51.29,BUY,SELL,Bullish : 61.3,Bullish : 65.27,Weak Trend : 22.45,Neutral : 32.4,Bullish : 0.7,Bearish : -0.47,Bearish : -0.01,Bearish : -0.24,57.18,85.77,4.329,6.66,Novartis AG,Watchlist,100,2.57,2,8436.0,buy,8.461,0.088,1.249,0.065120004,0.43062,50.792,0.919
SPDR Select Sector Fund - Finan,XLF,NEUTRAL,NEUTRAL,31.88,31.45,41.7,30.58,3.312552,,,,,,,NEUTRAL - 9|7|10,SELL - 5|12|9,NEUTRAL - 7|9|10,SELL - 6|12|8,Neutral : 48.56,BUY,SELL,Bullish : 44.14,Bullish : 40.89,Weak Trend : 22.2,Neutral : 32.58,Bearish : -0.42,Bearish : -0.46,Bearish : -0.23,Bearish : -0.32,53.3,32.75,,,SPDR Select Sector Fund - Finan,Index,100,,,3188.0,,,,,,,,
SPDR S&P Regional Banking ETF,KRE,NEUTRAL,NEUTRAL,59.06,58.09,78.81,56.58,,,,,,,,NEUTRAL - 9|7|10,SELL - 5|12|9,NEUTRAL - 8|8|10,SELL - 4|13|9,Neutral : 49.73,BUY,SELL,Bullish : 46.22,Bullish : 43.35,Weak Trend : 22.1,Neutral : 36.41,Bearish : -0.79,Bearish : -0.5,Bearish : -0.37,Bearish : -0.5,53.55,60.36,,,SPDR S&P Regional Banking ETF,Index,100,,,5906.0,,,,,,,,
SPDR S&P Bank ETF,KBE,NEUTRAL,NEUTRAL,44.62,43.88,60.6,42.61,,,,,,,,NEUTRAL - 9|7|10,SELL - 5|12|9,NEUTRAL - 8|8|10,SELL - 3|14|9,Neutral : 49.4,BUY,SELL,Bullish : 47.46,Bullish : 44.62,Weak Trend : 23.81,Neutral : 41.0,Bearish : -0.66,Bearish : -0.39,Bearish : -0.32,Bearish : -0.45,53.74,45.66,,,SPDR S&P Bank ETF,Index,100,,,4462.0,,,,,,,,
Communication Services,DIS,NEUTRAL,NEUTRAL,96.14,94.4,187.58,92.01,87.87934,19,0.61,1.9737625,63.941,0.65793,2022-02-09 00:00:00,NEUTRAL - 9|7|10,SELL - 3|14|9,SELL - 3|13|10,SELL - 3|14|9,Neutral : 48.01,BUY,SELL,Bullish : 37.94,Bullish : 34.61,Weak Trend : 18.63,Neutral : 32.86,Bearish : -1.94,Bearish : -1.65,Bearish : -1.06,Bearish : -1.43,50.75,99.94,1.094,5.06,Walt Disney Company (The),Watchlist,100,1.6,2,9614.0,buy,7.934,63.358,1.096,0.016900001,0.036760002,52.254,0.976
Financial Services,V,NEUTRAL,NEUTRAL,199.18,196.89,252.67,185.91,31.268446,23.711905,1.52,12.580053,0.205,0.96982,2022-07-25 10:59:00,NEUTRAL - 9|7|10,SELL - 2|15|9,SELL - 6|10|10,SELL - 3|14|9,Neutral : 50.74,BUY,SELL,Bullish : 36.3,Bullish : 38.2,Weak Trend : 16.95,Neutral : 20.7,Bearish : -0.93,Bearish : -6.24,Bearish : -0.46,Bearish : -0.66,58.33,206.25,6.37,8.4,Visa Inc.,Watchlist,100,5.01,1.8,19918.0,buy,6.495,0.234,1.288,0.14049,0.37362,58.426,0.925
Financial Services,CB,NEUTRAL,NEUTRAL,197.92,196.58,218.99,157.19,10.062023,13.696886,0.81,1.4376616,-0.142,0.91293,2022-04-25 00:00:00,NEUTRAL - 9|7|10,NEUTRAL - 9|7|10,BUY - 13|3|10,NEUTRAL - 10|9|7,Bullish  : 56.2,BUY,BUY,Overbrought : 91.37,Overbrought : 86.56,Weak Trend : 19.14,Bullish  : 118.78,Bearish : -0.62,Bullish : 3.6,Bearish : -0.59,Bearish : -1.77,55.94,191.73,19.67,14.45,Chubb Limited,Watchlist,100,1.55,,19792.0,none,12.133,-0.095,0.345,0.024719998,0.14187999,35.35,0.147
Energy,ENB,BUY,NEUTRAL,42.66,42.26,47.67,36.21,19.155815,17.701244,3.17,1.5905448,0.033,0.54285,2022-02-10 00:00:00,NEUTRAL - 9|7|10,BUY - 11|5|10,BUY - 14|2|10,NEUTRAL - 9|8|9,Neutral : 50.68,BUY,BUY,Bullish : 76.02,Bullish : 72.92,Strong Trend : 27.52,Bullish  : 91.61,Bearish : -0.54,Bullish : 0.86,Bearish : -0.27,Bearish : -0.51,58.09,41.71,2.227,2.41,Enbridge Inc,Watchlist,100,5.76,2.3,4266.0,buy,0.173,0.035,0.491,0.03026,0.098859996,120.824,0.358
Utilities,NRG,NEUTRAL,NEUTRAL,38.84,38.17,47.82,34.7,3.8933442,10.497297,0.3,2.3313324,,1.01571,2022-02-28 00:00:00,NEUTRAL - 8|9|9,SELL - 4|12|10,STRONG_BUY - 16|0|10,SELL - 6|10|10,Neutral : 49.0,BUY,BUY,Bullish : 77.12,Bullish : 73.55,Strong Trend : 28.51,Bullish  : 110.2,Bearish : -1.19,Bullish : 0.51,Bearish : -0.65,Bearish : -1.03,54.2,37.09,9.976,3.7,NRG Energy. Inc.,Watchlist,100,4.71,2.5,3884.0000000000005,buy,1.032,,1.37,0.12246,0.82841,230.194,0.506
SPDR S&P 500,SPY,NEUTRAL,NEUTRAL,381.24,377.25,479.98,362.17,2.6455157,,,,,,,NEUTRAL - 8|8|10,SELL - 4|13|9,SELL - 5|11|10,SELL - 6|12|8,Neutral : 48.1,BUY,SELL,Bullish : 31.1,Bullish : 32.98,Weak Trend : 23.04,Neutral : 12.61,Bearish : -4.04,Bearish : -8.85,Bearish : -2.12,Bearish : -2.69,53.99,388.71,,,SPDR S&P 500,Index,100,,,38124.0,,,,,,,,
Technology,MSFT,NEUTRAL,NEUTRAL,259.58,256.83,349.67,241.51,27.096033,24.169458,1.71,11.922104,0.082,0.71844,2022-07-25 10:59:00,NEUTRAL - 8|8|10,NEUTRAL - 8|9|9,SELL - 5|11|10,SELL - 3|13|10,Neutral : 51.91,BUY,SELL,Bullish : 35.6,Bullish : 38.83,Weak Trend : 15.76,Neutral : 17.46,Bullish : 1.53,Bearish : -8.37,Bullish : 0.31,Bullish : 0.22,55.29,264.69,9.58,10.74,Microsoft Corporation,Cash,100,1.58,1.7,25958.0,buy,13.994,0.094,1.988,0.15674,0.48721,47.863,1.773
Healthcare,CAH,NEUTRAL,NEUTRAL,53.1,52.27,64.53,45.85,13.706762,8.564516,2.89,10.825687,-0.922,0.90212,2022-02-03 00:00:00,NEUTRAL - 7|9|10,SELL - 2|15|9,BUY - 15|2|9,SELL - 3|14|9,Neutral : 50.0,SELL,SELL,Bullish : 28.37,Bullish : 33.81,Weak Trend : 23.12,Neutral : 0.43,Bullish : 0.29,Bearish : -1.32,Bullish : 0.01,Bullish : 0.04,46.52,54.74,3.874,6.2,Cardinal Health. Inc.,Watchlist,100,2.69,2.8,5310.0,hold,11.409,-0.92,1.149,0.026199998,0.37353,563.174,0.453
Consumer Cyclical,NIO,NEUTRAL,NEUTRAL,21.36,21.72,51.74,11.67,,-92.86957,1742.27,1.3912591,,0.37217,2022-04-27 00:00:00,NEUTRAL - 10|7|9,BUY - 11|6|9,SELL - 2|15|9,SELL - 6|9|9,Neutral : 50.61,SELL,SELL,Bullish : 21.4,Bullish : 26.32,Weak Trend : 23.07,Bearish : -86.11,Bullish : 0.8,Bearish : -2.71,Bullish : 0.51,Bullish : 0.86,53.36,23.65,-1.016,-0.23,NIO Inc.,Watchlist,100,1.09,1.7,2136.0,buy,31.758,,2.18,-0.04087,-0.30328,52.96,1.963
Technology,IBM,NEUTRAL,NEUTRAL,141.12,141.19,144.73,114.56,23.176218,13.5302,1.1,6.662889,-0.232,0.56959,2022-07-18 20:00:00,BUY - 15|2|9,STRONG_SELL - 1|16|9,BUY - 15|2|9,BUY - 15|2|9,Bullish  : 55.59,SELL,SELL,Bullish : 56.19,Bullish : 60.9,Weak Trend : 13.49,Neutral : 31.2,Bullish : 2.1,Bearish : -0.97,Bullish : 0.95,Bullish : 0.98,49.45,143.77,6.089,10.43,International Business Machines,Watchlist,100,4.62,2.6,14112.0,hold,11.656,-0.239,0.92,0.02713,0.24476999,301.104,0.726
Communication Services,BIDU,NEUTRAL,STRONG_BUY,151.49,148.73,191.7,101.62,24.96128,16.945192,67.7,0.24886607,-0.669,0.4901,2022-02-15 00:00:00,BUY - 15|2|9,STRONG_BUY - 16|1|9,SELL - 3|14|9,BUY - 12|5|9,Bullish  : 58.08,SELL,SELL,Bullish : 51.38,Bullish : 48.83,Strong Trend : 35.05,Neutral : 45.24,Bullish : 3.57,Bullish : 0.14,Bullish : 2.47,Bullish : 2.75,48.27,156.16,6.069,8.94,Baidu. Inc.,Cash,100,1.45,1.9,15149.0,buy,522.273,-0.729,2.864,0.01874,0.036510002,40.86,2.622
Consumer Cyclical,MCD,NEUTRAL,NEUTRAL,252.96,246.88,271.15,217.68,26.711721,23.531164,3.26,,-0.282,0.69701,2022-07-26 12:30:00,BUY - 15|2|9,SELL - 7|11|8,SELL - 7|10|9,STRONG_BUY - 17|0|9,Bullish  : 66.33,BUY,BUY,Overbrought : 90.79,Overbrought : 85.9,Weak Trend : 15.72,Bullish  : 138.78,Bullish : 6.05,Bullish : 5.05,Bullish : 2.18,Bullish : 1.28,65.25,245.45,9.47,10.75,McDonald's Corporation,Watchlist,100,2.39,2,25296.0,buy,3.188,-0.278,1.1,0.12434,,,0.952
SPDR Select Sector Fund - Healt,XLV,STRONG_BUY,STRONG_BUY,129.68,128.24,143.42,118.75,4.1609445,,,,,,,BUY - 15|2|9,BUY - 12|4|10,NEUTRAL - 8|8|10,BUY - 10|7|9,Bullish  : 61.3,BUY,SELL,Bullish : 71.63,Bullish : 72.62,Weak Trend : 21.79,Bullish  : 69.9,Bullish : 2.77,Bullish : 0.47,Bullish : 0.87,Bullish : 0.56,65.52,129.98,,,SPDR Select Sector Fund - Healt,Index,100,,,12968.0,,,,,,,,
Healthcare,PFE,STRONG_BUY,STRONG_BUY,52.31,52.43,61.71,38.93,14.941446,1.0582643,-9.15,3.8776875,3.011,0.69549006,2022-05-02 00:00:00,BUY - 15|1|10,STRONG_BUY - 16|1|9,BUY - 15|3|8,BUY - 15|2|9,Bullish  : 59.58,BUY,BUY,Overbrought : 81.5,Overbrought : 85.05,Weak Trend : 21.45,Bullish  : 80.86,Bullish : 1.79,Bullish : 0.71,Bullish : 0.54,Bullish : 0.27,60.91,51.25,3.501,49.43,Pfizer. Inc.,Watchlist,100,2.71,2.3,5231.0,buy,5.526,2.911,1.399,0.09996,0.31870002,53.438,1.097
Consumer Defensive,CLX,STRONG_BUY,BUY,143.9,140.98,191.75,120.5,41.505623,21.574211,-7.03,48.046745,-0.734,0.82019997,2022-04-28 00:00:00,BUY - 15|1|10,BUY - 13|3|10,SELL - 2|14|10,SELL - 6|10|10,Bullish  : 67.18,BUY,BUY,Overbrought : 92.7,Overbrought : 90.59,Strong Trend : 32.87,Bullish  : 90.9,Bullish : 8.68,Bullish : 3.15,Bullish : 2.62,Bullish : 1.7,61.92,139.37,3.467,6.67,Clorox Company (The),Watchlist,100,4.73,3.4,14390.0,hold,1.755,-0.724,0.671,0.069180004,0.27365,657.434,0.302
Technology,CRWD,NEUTRAL,BUY,179.25,168.56,298.48,130.0,,199.16667,1.81,43.349453,,0.72581,2022-03-14 00:00:00,BUY - 14|3|9,BUY - 13|4|9,SELL - 4|12|10,SELL - 5|10|9,Bullish  : 57.28,SELL,BUY,Bullish : 46.16,Bullish : 39.27,Weak Trend : 16.26,Bullish  : 65.09,Bullish : 3.1,Bearish : -5.85,Bullish : 2.49,Bullish : 2.78,62.61,164.56,-0.941,0.9,CrowdStrike Holdings. Inc.,Watchlist,100,3.31,1.6,17925.0,buy,8.652,,1.827,-0.02684,-0.24339001,74.661,1.681
Utilities,UGI,BUY,BUY,39.72,38.61,48.55,33.05,5.7398844,11.716814,2.06,1.5652586,,0.85376,2022-02-01 00:00:00,BUY - 14|2|10,STRONG_BUY - 16|0|10,STRONG_BUY - 18|0|8,NEUTRAL - 7|9|10,Neutral : 52.04,BUY,SELL,Bullish : 53.45,Bullish : 46.03,Strong Trend : 30.92,Bullish  : 85.92,Bearish : -0.91,Bullish : 0.25,Bearish : -0.3,Bearish : -0.45,60.41,39.98,6.92,3.39,UGI Corporation,Watchlist,100,3.22,2.5,3972.0,buy,1.592,,1.329,0.07387,0.21785,132.823,0.782
Healthcare,MRNA,STRONG_BUY,BUY,149.95,142.85,497.49,115.61,8.983345,5.6649036,-0.03,5.99848,,0.63928,2022-02-23 00:00:00,BUY - 14|2|10,BUY - 14|3|9,SELL - 2|14|10,NEUTRAL - 7|7|10,Bullish  : 63.66,BUY,BUY,Overbrought : 83.74,Bullish : 79.22,Weak Trend : 12.72,Bullish  : 122.69,Bullish : 9.39,Bullish : 5.74,Bullish : 3.64,Bullish : 2.78,69.37,135.83,16.692,26.47,Moderna. Inc.,Watchlist,100,2.74,2.5,14994.999999999998,buy,26.626,,1.761,0.51928,1.4607899,6.476,1.536
iShares Biotechnology ETF,IBB,STRONG_BUY,BUY,120.17,117.63,177.37,104.29,2.8724065,,,,,,,BUY - 14|2|10,BUY - 12|4|10,SELL - 6|11|9,SELL - 5|12|9,Bullish  : 63.4,BUY,BUY,Overbrought : 80.88,Bullish : 77.9,Weak Trend : 19.7,Bullish  : 79.28,Bullish : 4.63,Bullish : 0.14,Bullish : 1.71,Bullish : 1.5,67.85,115.96,,,iShares Biotechnology ETF,Index,100,,,12017.0,,,,,,,,
Healthcare,EDIT,NEUTRAL,BUY,12.59,11.83,73.03,9.59,,-3.780781,,1.4512968,,0.66857004,2022-02-23 00:00:00,BUY - 13|5|8,BUY - 11|5|10,SELL - 3|14|9,SELL - 4|12|10,Bullish  : 55.11,SELL,SELL,Bullish : 33.38,Bullish : 33.48,Weak Trend : 14.52,Neutral : 20.86,Bullish : 0.39,Bearish : -0.9,Bullish : 0.21,Bullish : 0.28,54.04,13.39,-3.231,-3.33,Editas Medicine. Inc.,Watchlist,100,8.44,2.6,1259.0,hold,7.301,,10.821,-0.19313,-0.40645,4.764,10.667
